steam_game_id|steam_game_name|is_free|developer|publisher|genre1_id|genre1_name|genre2_id|genre2_name|release_date|required_age|on_windows_pc_platform|on_apple_mac_platform|on_linux_platform
2622030|Filter World|False|DaWenYu|DaWenYu|25|Adventure|2|Strategy|2023-12-05|0|True|False|False
2687570|Banded Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2024-02-08|0|True|False|False
2687580|Total Vengeance Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2023-11-15|0|True|False|False
1409630|Halloween Rhythm|False|Wholetone Games|Wholetone Games|4|Casual|23|Indie|2020-09-25|0|True|False|False
2687590|Sanctuary in Time|False|Novus Operandi Game Design|Novus Operandi Game Design|23|Indie|3|RPG|2023-12-04|0|True|False|False
1409640|Tomato Way 3|False|Vladislav Castillo Gonzalez|Vladislav Castillo Gonzalez|1|Action|25|Adventure|2020-09-15|0|True|False|False
1344110|The Elf's Lewd Training|False|Uzura Studio|Uzura Studio|28|Simulation|N/A|N/A|2020-07-03|0|True|False|False
2687600|Doppelgänger|False|HOLOSTARS English|HOLOSTARS English|25|Adventure|N/A|N/A|2023-12-21|0|True|True|False
1278580|Dungeons and Undead|False|Alejandro Munilla|Alejandro Munilla|1|Action|4|Casual|2020-10-20|0|True|False|True
3277430|Objective: F.E.A.S.T. Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2024-10-12|0|True|False|False
1344120|Bistro Days|False|Drunk Bunny Games|Kikai Digital|25|Adventure|4|Casual|2022-02-25|0|True|True|False
3277450|Kozomo: The Smoldering Ember|False|Kursat Kuyumcu|Kursat Kuyumcu|25|Adventure|23|Indie||0|True|False|False
1344140|Viking Chronicles: Tale of the lost Queen|False|Deyteris|HH-Games|4|Casual|N/A|N/A|2020-06-29|0|True|False|False
1376910|Super Catboy|False|Pixelpogo|Assemble Entertainment|1|Action|25|Adventure|2023-07-24|0|True|True|False
1409680|1Day一天|False|若想创意设计工作室|若想创意设计工作室|4|Casual|23|Indie|2020-09-30|0|True|False|False
2622100|Footy Bash|False|Danger Thumbs|Danger Thumbs|18|Sports|N/A|N/A|2024-01-01|0|True|False|False
3277460|Gatcha Gear Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2024-10-10|0|True|False|False
2654870|Astral Party Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2023-12-07|0|True|False|False
2622110|Brushwood Saga|False|The Original Jöges|The Original Jöges & Affiliates|4|Casual|3|RPG|2024-03-01|0|True|False|False
2654880|Crown Wars: The Black Prince Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2023-12-04|0|True|False|False
2687650|Y2K Directive|False|KszaDev|KszaDev|28|Simulation|2|Strategy|2024-01-01|0|True|True|True
1409700|A Way To Die|False|Gael Luguern|Gael Luguern|1|Action|23|Indie|2022-05-13|0|True|False|False
1311400|Arena Experiment|False|ili Games|ili Games|1|Action|25|Adventure|2020-06-12|0|True|False|False
2622120|Ball King Jam Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2023-10-02|0|True|False|False
1344170|Sudden Way|False|Vitali Games|Vitali Games|25|Adventure|4|Casual|2020-07-21|0|True|False|False
1376940|Monster Killer|False|Laush Dmitriy Sergeevich|Laush Studio|4|Casual|23|Indie|2020-08-05|0|True|False|False
